nick,country,stats_link,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact
ZywOo,France,https://www.hltv.org//stats/players/11893/zywoo,"['Vitality', 'aAa']",970,25491,5917,1.38,1.27,21602,41.3,15685,3.6,0.85,0.13,0.62,0.1,0.12,74.9,1.45
FalleN,Brazil,https://www.hltv.org//stats/players/2023/fallen,"['SK', 'MIBR', 'Luminosity']",1538,40215,3654,1.15,1.07,27904,30.8,24250,3.5,0.69,0.11,0.6,0.08,0.08,71.8,1.08
fer,Brazil,https://www.hltv.org//stats/players/8564/fer,"['SK', 'MIBR', 'Luminosity']",1391,36269,2767,1.11,1.09,27300,44.9,24533,5.0,0.75,0.15,0.68,0.09,0.08,71.4,1.22
TACO,Brazil,https://www.hltv.org//stats/players/9217/taco,"['GODSENT', 'SK', 'MIBR', 'Liquid', 'Luminosity']",1377,35777,-1327,0.94,0.93,21773,50.2,23100,4.3,0.61,0.12,0.65,0.08,0.07,69.5,0.9
felps,Brazil,https://www.hltv.org//stats/players/9219/felps,"['SK', 'GODSENT', 'Immortals', 'Tempo Storm']",998,25554,1601,1.09,1.08,19490,43.9,17889,3.5,0.76,0.16,0.7,0.1,0.09,70.4,1.26
fnx,Brazil,https://www.hltv.org//stats/players/557/fnx,"['Imperial', 'Luminosity', 'SK', 'Immortals', 'RED Canids', 'Não Tem Como']",644,16496,853,1.08,1.04,11678,49.7,10825,6.0,0.71,0.16,0.66,0.09,0.09,72.0,1.08
boltz,Brazil,https://www.hltv.org//stats/players/8568/boltz,"['Immortals', 'Luminosity', 'SK', 'MIBR']",1259,32756,2605,1.13,1.07,23379,39.4,20774,8.8,0.71,0.17,0.63,0.08,0.09,72.3,1.09
s1mple,Ukraine,https://www.hltv.org//stats/players/7998/s1mple,['Natus Vincere'],1532,40464,8864,1.34,1.25,34647,41.3,25783,2.4,0.86,0.1,0.64,0.08,0.11,74.2,1.36
sh1ro,Russia,https://www.hltv.org//stats/players/16920/sh1ro,"['Gambit Youngsters', 'Gambit']",847,22465,5361,1.45,1.23,17320,27.9,11959,3.9,0.77,0.11,0.53,0.08,0.11,76.3,1.21
deko,Russia,https://www.hltv.org//stats/players/20113/deko,['1WIN'],378,10219,2225,1.37,1.22,8219,36.9,5994,3.3,0.8,0.1,0.59,0.09,0.11,74.5,1.21
Kaze,Malaysia,https://www.hltv.org//stats/players/8950/kaze,"['ViCi', 'Flash', 'MVP.karnal']",829,21617,4118,1.32,1.2,16957,30.3,12839,2.9,0.78,0.11,0.59,0.08,0.1,73.7,1.24
degster,Russia,https://www.hltv.org//stats/players/17306/degster,"['Spirit', 'Espada']",661,17582,3226,1.3,1.19,13820,34.8,10594,3.0,0.79,0.09,0.6,0.07,0.1,72.6,1.26
smooya,United Kingdom,https://www.hltv.org//stats/players/11271/smooya,"['BIG', 'Movistar Riders', 'Epsilon']",860,22747,3775,1.27,1.18,17883,27.7,14108,2.4,0.79,0.1,0.62,0.08,0.1,71.6,1.27
sterling,New Zealand,https://www.hltv.org//stats/players/12591/sterling,"['Looking For Org', 'AVANT', 'Dire Wolves']",844,21625,3970,1.31,1.17,16815,31.5,12845,4.0,0.78,0.1,0.59,0.08,0.11,73.4,1.19
XANTARES,Turkey,https://www.hltv.org//stats/players/7938/xantares,"['Eternal Fire', 'Space Soldiers', 'BIG']",1725,45404,6135,1.2,1.17,36911,53.3,30755,4.5,0.81,0.15,0.68,0.1,0.1,72.3,1.34
torzsi,Hungary,https://www.hltv.org//stats/players/18072/torzsi,"['MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander']",428,11450,1822,1.26,1.17,8946,29.2,7124,2.5,0.78,0.09,0.62,0.09,0.11,71.3,1.22
DANK1NG,China,https://www.hltv.org//stats/players/16207/dank1ng,"['TYLOO', 'EHOME']",374,9935,1597,1.25,1.16,7867,39.7,6270,2.2,0.79,0.1,0.63,0.09,0.1,73.8,1.25
device,Denmark,https://www.hltv.org//stats/players/7592/device,"['Astralis', 'TSM']",1793,46666,7208,1.25,1.16,36293,35.0,29085,4.3,0.78,0.13,0.62,0.07,0.08,71.2,1.28
